,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,12.331451457683778,6.016815121837363,0.0916910360360651,0.8,Sunday,11,6,2023
2023-06-12,13.647332704062823,6.27529674843072,0.08574118137068867,0.8,Monday,12,6,2023
2023-06-13,14.290186287563719,6.43851564897196,0.06504854805300767,0.8,Tuesday,13,6,2023
2023-06-14,14.65272551828305,6.525905996190768,0.05486458371370486,0.8,Wednesday,14,6,2023
2023-06-15,14.846447651849056,6.584565544283502,0.04851870882365534,0.8,Thursday,15,6,2023
2023-06-16,14.95202096911887,6.613340307471391,0.04476792285515447,0.8,Friday,16,6,2023
2023-06-17,15.009138982736768,6.635005995372876,0.042526469004204065,0.8,Saturday,17,6,2023
2023-06-18,15.040124040857787,6.643959111751509,0.04119010022883243,0.8,Sunday,18,6,2023
2023-06-19,15.056916114776028,6.652332715143877,0.040392957505740984,0.8,Monday,19,6,2023
2023-06-20,15.066019723043079,6.654756350652471,0.03991751189813216,0.8,Tuesday,20,6,2023
2023-06-21,15.070954470438235,6.658222612754735,0.039633932227987015,0.8,Wednesday,21,6,2023
2023-06-22,15.073629555433406,6.65861264501337,0.039464791832590065,0.8,Thursday,22,6,2023
2023-06-23,15.075079670307572,6.66018352507608,0.039363908362292456,0.8,Friday,23,6,2023
2023-06-24,15.075865756401223,6.660021592893489,0.0393037366187981,0.8,Saturday,24,6,2023
2023-06-25,15.076291881149855,6.660808624926721,0.039267847301533224,0.8,Sunday,25,6,2023
2023-06-26,15.076522876795512,6.66055663118474,0.039246441189508874,0.8,Monday,26,6,2023
2023-06-27,15.076648095926336,6.660988842848003,0.03923367355646913,0.8,Tuesday,27,6,2023
2023-06-28,15.076715975269211,6.660772486439927,0.03922605832708111,0.8,Wednesday,28,6,2023
2023-06-29,15.076752771603386,6.661027136572134,0.03922151623862536,0.8,Thursday,29,6,2023
2023-06-30,15.076772718323163,6.660867203791791,0.03921880711897993,0.8,Friday,30,6,2023
2023-07-01,15.076783531129283,6.661024438099458,0.039217191269943795,0.8,Saturday,1,7,2023
2023-07-02,15.076789392583088,6.660913091344342,0.03921622749999292,0.8,Sunday,2,7,2023
2023-07-03,15.076792569985905,6.661012969833848,0.03921565266131837,0.8,Monday,3,7,2023
2023-07-04,15.076794292406488,6.660937576134426,0.039215309799931736,0.8,Tuesday,4,7,2023
2023-07-05,15.076795226103863,6.66100205549421,0.0392151053009381,0.8,Wednesday,5,7,2023
2023-07-06,15.07679573224667,6.660951704348948,0.03921498332791919,0.8,Thursday,6,7,2023
2023-07-07,15.0767960066188,6.660993703132512,0.039214910577354115,0.8,Friday,7,7,2023
2023-07-08,15.076796155351657,6.660960312321246,0.039214867185423954,0.8,Saturday,8,7,2023
2023-07-09,15.07679623597742,6.66098780018429,0.03921484130439332,0.8,Sunday,9,7,2023
2023-07-10,15.076796279683398,6.660965737507228,0.039214825867703966,0.8,Monday,10,7,2023
