,TMAX,TMIN,PRCP,SNWD,Day of Week,Day,Month,Year
2023-06-11,15.347787781318544,6.933301017349274,0.09915270360799508,0.4,Sunday,11,6,2023
2023-06-12,15.95336172262952,7.111180724264285,0.1223537896535011,0.4,Monday,12,6,2023
2023-06-13,16.28513055316897,7.191340297142896,0.1277826924882552,0.4,Tuesday,13,6,2023
2023-06-14,16.44890148653802,7.234169077570343,0.12905302034839902,0.4,Wednesday,14,6,2023
2023-06-15,16.52440498164413,7.255323583107658,0.12935026878355743,0.4,Thursday,15,6,2023
2023-06-16,16.557456229399307,7.266148324751843,0.12941982297895555,0.4,Friday,16,6,2023
2023-06-17,16.57130425349999,7.271598937188802,0.12943609820709898,0.4,Saturday,17,6,2023
2023-06-18,16.576876139874784,7.274363568055382,0.12943990650434983,0.4,Sunday,18,6,2023
2023-06-19,16.57902870490656,7.275761199501123,0.12944079762107172,0.4,Monday,19,6,2023
2023-06-20,16.579824201177605,7.276468818513162,0.12944100613657344,0.4,Tuesday,20,6,2023
2023-06-21,16.580102993326662,7.276826841433853,0.12944105492784108,0.4,Wednesday,21,6,2023
2023-06-22,16.580194017882757,7.277008040601459,0.12944106634467953,0.4,Thursday,22,6,2023
2023-06-23,16.580220637557275,7.277099734569355,0.12944106901614527,0.4,Friday,23,6,2023
2023-06-24,16.580226879049555,7.277146138301723,0.12944106964125082,0.4,Saturday,24,6,2023
2023-06-25,16.58022748457416,7.277169621246139,0.12944106978752146,0.4,Sunday,25,6,2023
2023-06-26,16.580226948486885,7.2771815051153,0.12944106982174783,0.4,Monday,26,6,2023
2023-06-27,16.58022642634284,7.277187519076183,0.1294410698297566,0.4,Tuesday,27,6,2023
2023-06-28,16.580226100809654,7.277190562514499,0.1294410698316306,0.4,Wednesday,28,6,2023
2023-06-29,16.58022592840404,7.277192102681732,0.1294410698320691,0.4,Thursday,29,6,2023
2023-06-30,16.58022584506228,7.277192882101641,0.1294410698321717,0.4,Friday,30,6,2023
2023-07-01,16.58022580721967,7.277193276536238,0.12944106983219572,0.4,Saturday,1,7,2023
2023-07-02,16.580225790858982,7.27719347614452,0.12944106983220133,0.4,Sunday,2,7,2023
2023-07-03,16.5802257840801,7.277193577158643,0.12944106983220263,0.4,Monday,3,7,2023
2023-07-04,16.58022578138205,7.277193628278029,0.12944106983220294,0.4,Tuesday,4,7,2023
2023-07-05,16.580225780351643,7.277193654147595,0.12944106983220302,0.4,Wednesday,5,7,2023
2023-07-06,16.580225779975862,7.277193667239193,0.12944106983220305,0.4,Thursday,6,7,2023
2023-07-07,16.580225779846373,7.277193673864354,0.12944106983220305,0.4,Friday,7,7,2023
2023-07-08,16.580225779805115,7.277193677217093,0.12944106983220305,0.4,Saturday,8,7,2023
2023-07-09,16.58022577979356,7.277193678913786,0.12944106983220305,0.4,Sunday,9,7,2023
2023-07-10,16.580225779791135,7.277193679772419,0.12944106983220305,0.4,Monday,10,7,2023
